x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,s_m
0,0,0.0,0.00013525,0,0.0,0
1.76427,2.43886,0.0,4.68128e-05,0,0.0,3.0101
3.52802,4.87811,0.0,3.29004e-05,0,0.0,6.02021
5.29156,7.31751,0.0,3.70533e-06,0,0.0,9.03031
7.05507,9.75692,0.0,-1.97169e-05,0,0.0,12.0404
8.81873,12.1962,0.0,-3.27492e-05,0,0.0,15.0505
10.5827,14.6353,0.0,0.000138639,0,0.0,18.0606
12.3469,17.0743,0.0,0.000776498,0,0.0,21.0707
14.1063,19.5166,0.0,0.000337852,0,0.0,24.0808
15.8521,21.9687,0.0,-0.0435373,0,0.0,27.0909
17.6192,24.4042,0.0,-0.117407,0,0.0,30.1
20.3128,25.6296,0.0,-0.111951,0,0.0,33.0592
23.3054,25.8372,0.0,-0.0480954,0,0.0,36.059
26.3141,25.7504,0.0,-0.0150246,0,0.0,39.0689
29.3185,25.5836,0.0,0.00738882,0,0.0,42.078
32.3172,25.3276,0.0,0.0460574,0,0.0,45.0876
35.3078,25.5974,0.0,0.0762402,0,0.0,48.0903
38.1465,26.5494,0.0,0.0726316,0,0.0,51.0844
40.6366,28.2343,0.0,0.0402649,0,0.0,54.091
42.9581,30.1501,0.0,0.0114899,0,0.0,57.1009
45.2338,32.1203,0.0,0.00159207,0,0.0,60.111
47.5172,34.0816,0.0,-0.017272,0,0.0,63.121
49.7939,36.0506,0.0,-0.138625,0,0.0,66.131
52.3763,37.4607,0.0,-0.281023,0,0.0,69.0734
54.4185,35.522,0.0,-0.194578,0,0.0,71.8892
55.3814,32.6701,0.0,-0.00973212,0,0.0,74.8993
56.3317,29.8139,0.0,0.202578,0,0.0,77.9094
58.1385,27.643,0.0,0.354663,0,0.0,80.7338
60.3429,29.551,0.0,0.224702,0,0.0,83.6493
61.3997,32.367,0.0,0.0687218,0,0.0,86.657
62.1486,35.2805,0.0,0.0411989,0,0.0,89.6652
62.5385,38.2634,0.0,0.0830469,0,0.0,92.6735
62.4926,41.266,0.0,0.132795,0,0.0,95.6764
60.8121,43.6825,0.0,0.0921941,0,0.0,98.6199
58.5429,45.6598,0.0,0.0213016,0,0.0,101.63
56.2607,47.6225,0.0,0.000584522,0,0.0,104.64
53.9787,49.5855,0.0,0.00014837,0,0.0,107.65
51.6952,51.5467,0.0,0.000107501,0,0.0,110.66
49.411,53.5072,0.0,-4.94421e-05,0,0.0,113.67
47.1272,55.4679,0.0,-0.000173121,0,0.0,116.68
44.8445,57.4302,0.0,-0.000178689,0,0.0,119.69
42.5633,59.3939,0.0,-4.22081e-05,0,0.0,122.7
40.2823,61.3581,0.0,0.000156613,0,0.0,125.71
38.0003,63.3211,0.0,0.000361095,0,0.0,128.721
35.7163,65.2817,0.0,0.000574615,0,0.0,131.731
33.4289,67.2383,0.0,0.000811973,0,0.0,134.741
31.1367,69.1894,0.0,0.000678512,0,0.0,137.751
28.8383,71.1332,0.0,0.000264818,0,0.0,140.761
26.5413,73.0785,0.0,0.0179861,0,0.0,143.771
24.2417,75.0206,0.0,0.0734538,0,0.0,146.781
21.6121,76.4079,0.0,0.144624,0,0.0,149.754
18.6282,76.529,0.0,0.211279,0,0.0,152.741
16.199,74.9224,0.0,0.19872,0,0.0,155.653
15.6164,72.0018,0.0,0.0686378,0,0.0,158.631
15.4102,68.999,0.0,-0.0795312,0,0.0,161.641
14.5737,66.1393,0.0,-0.193085,0,0.0,164.621
12.1956,64.3873,0.0,-0.248767,0,0.0,167.574
9.3036,64.7985,0.0,-0.24508,0,0.0,170.495
7.36293,67.0237,0.0,-0.213124,0,0.0,173.448
7.23665,69.9673,0.0,-0.134518,0,0.0,176.394
8.43479,72.7259,0.0,-0.0403437,0,0.0,179.402
9.69297,75.4604,0.0,-0.00366182,0,0.0,182.412
10.9366,78.2016,0.0,-0.0207489,0,0.0,185.422
12.2702,80.8989,0.0,-0.0448379,0,0.0,188.431
14.0827,83.2933,0.0,-0.0446468,0,0.0,191.434
16.1902,85.4402,0.0,-0.0513406,0,0.0,194.442
18.4761,87.3774,0.0,-0.0740992,0,0.0,197.439
21.2472,88.5435,0.0,-0.0620001,0,0.0,200.445
24.1884,89.1703,0.0,-0.027177,0,0.0,203.453
27.1668,89.6057,0.0,-0.00747482,0,0.0,206.463
30.1491,90.014,0.0,-0.00233808,0,0.0,209.473
33.1342,90.4014,0.0,-0.00168889,0,0.0,212.483
36.1212,90.7736,0.0,-0.00116006,0,0.0,215.493
39.1093,91.1363,0.0,-0.0012149,0,0.0,218.503
42.0984,91.4916,0.0,-0.00214918,0,0.0,221.513
45.0897,91.8276,0.0,-0.00252735,0,0.0,224.523
48.0843,92.1321,0.0,-0.000552231,0,0.0,227.533
51.0799,92.4277,0.0,-0.0169545,0,0.0,230.543
54.0723,92.7527,0.0,-0.0567956,0,0.0,233.553
57.0428,92.4146,0.0,-0.0845225,0,0.0,236.543
59.8526,91.3536,0.0,-0.109348,0,0.0,239.547
62.221,89.5265,0.0,-0.112917,0,0.0,242.538
63.5065,86.8148,0.0,-0.0609812,0,0.0,245.539
64.477,83.9657,0.0,-0.0183076,0,0.0,248.549
65.3499,81.0851,0.0,-0.0127491,0,0.0,251.559
66.1126,78.1734,0.0,-0.0140749,0,0.0,254.569
66.7484,75.2315,0.0,-0.0147441,0,0.0,257.578
67.2519,72.2641,0.0,-0.0139259,0,0.0,260.588
67.6225,69.2771,0.0,-0.0106683,0,0.0,263.598
67.8926,66.2792,0.0,-0.00599595,0,0.0,266.608
68.1128,63.2772,0.0,-0.00240082,0,0.0,269.618
68.317,60.274,0.0,0.00248387,0,0.0,272.628
68.5163,57.2705,0.0,0.0227219,0,0.0,275.638
68.8308,54.2787,0.0,0.0529932,0,0.0,278.647
69.7272,51.4125,0.0,0.0475172,0,0.0,281.65
71.1812,48.7818,0.0,-0.0371492,0,0.0,284.656
72.5415,46.1281,0.0,-0.117977,0,0.0,287.638
72.2113,43.1724,0.0,-0.0822928,0,0.0,290.612
71.2811,40.3099,0.0,-0.00132574,0,0.0,293.622
70.3706,37.4421,0.0,0.0589887,0,0.0,296.63
69.9666,34.4677,0.0,0.106985,0,0.0,299.632
70.6283,31.5554,0.0,0.0944715,0,0.0,302.619
72.3565,29.1065,0.0,-0.00955866,0,0.0,305.616
74.0548,26.6429,0.0,-0.128,0,0.0,308.608
74.4075,23.6918,0.0,-0.168525,0,0.0,311.58
73.1739,20.9826,0.0,-0.129826,0,0.0,314.557
70.9159,19.0067,0.0,-0.0580753,0,0.0,317.558
68.3699,17.4028,0.0,0.018966,0,0.0,320.567
65.8917,15.7054,0.0,0.0707185,0,0.0,323.57
64.0561,13.3482,0.0,0.0575674,0,0.0,326.558
62.6912,10.6653,0.0,0.0158344,0,0.0,329.568
61.3238,7.9837,0.0,0.000493784,0,0.0,332.578
59.9624,5.29907,0.0,0.000676808,0,0.0,335.588
58.6075,2.61113,0.0,0.000350748,0,0.0,338.599
57.2555,-0.078237,0.0,-0.000108006,0,0.0,341.609
55.9025,-2.76716,0.0,-0.000494751,0,0.0,344.619
54.545,-5.45378,0.0,-0.00060389,0,0.0,347.629
53.1816,-8.13737,0.0,-0.00035358,0,0.0,350.639
51.8151,-10.8194,0.0,6.56842e-05,0,0.0,353.649
50.4492,-13.5018,0.0,0.000505719,0,0.0,356.659
49.0873,-16.1862,0.0,0.00107683,0,0.0,359.669
47.7331,-18.8745,0.0,0.00200246,0,0.0,362.679
46.3943,-21.5705,0.0,-0.00038948,0,0.0,365.689
45.0821,-24.2795,0.0,-0.00732549,0,0.0,368.7
43.6895,-26.947,0.0,-0.0116076,0,0.0,371.709
42.1963,-29.5606,0.0,-0.0107769,0,0.0,374.719
40.6156,-32.122,0.0,-0.00584977,0,0.0,377.729
38.9735,-34.6447,0.0,-0.00839494,0,0.0,380.739
37.3609,-37.1864,0.0,-0.0491,0,0.0,383.749
35.5068,-39.547,0.0,-0.108895,0,0.0,386.75
32.8962,-40.9809,0.0,-0.138509,0,0.0,389.729
29.92,-41.3002,0.0,-0.147318,0,0.0,392.722
27.1274,-40.2694,0.0,-0.139101,0,0.0,395.699
25.0373,-38.1331,0.0,-0.0853667,0,0.0,398.688
23.6931,-35.4412,0.0,-0.0128113,0,0.0,401.697
22.2406,-32.8053,0.0,0.0231268,0,0.0,404.706
20.5949,-30.2863,0.0,0.0266831,0,0.0,407.715
18.7345,-27.921,0.0,0.022087,0,0.0,410.724
16.7117,-25.6924,0.0,0.0117769,0,0.0,413.734
14.6076,-23.5399,0.0,0.000101041,0,0.0,416.744
12.5095,-21.3816,0.0,-0.0075045,0,0.0,419.754
10.4777,-19.1609,0.0,0.0412747,0,0.0,422.764
8.50661,-16.8859,0.0,0.191023,0,0.0,425.774
5.8796,-16.2384,0.0,0.163917,0,0.0,428.48
3.56514,-18.1399,0.0,-0.110216,0,0.0,431.475
0.735252,-18.2237,0.0,-0.21478,0,0.0,434.306
-1.37191,-16.0893,0.0,-0.112478,0,0.0,437.306
-3.0566,-13.5998,0.0,-0.0624995,0,0.0,440.312
-4.25022,-10.8414,0.0,-0.0981835,0,0.0,443.317
-4.88692,-7.90806,0.0,-0.138464,0,0.0,446.319
-3.75141,-5.19658,0.0,-0.0902662,0,0.0,449.258
-1.99323,-2.75333,0.0,-0.0191161,0,0.0,452.269
-0.228053,-0.315124,0.0,-0.000318969,0,0.0,455.279
